competênciamov;região;uf;município;seção;subclasse;saldomovimentação;cbo2002ocupação;categoria;graudeinstrução;idade;horascontratuais;raçacor;sexo;tipoempregador;tipoestabelecimento;tipomovimentação;tipodedeficiência;indtrabintermitente;indtrabparcial;salário;tamestabjan;indicadoraprendiz;origemdainformação;competênciadec;competênciaexc;indicadordeexclusão;indicadordeforadoprazo;unidadesaláriocódigo;valorsaláriofixo
202007;2;21;210530;G;4689399;1;521110;101;7;28;44,00;3;1;0;1;20;0;0;0;,00;2;0;1;202007;202301;1;0;7;,00
202007;1;13;130260;Q;8621601;1;322205;101;7;30;44,00;3;3;0;1;20;0;0;0;1386,99;4;0;1;202104;202301;1;1;5;1386,99
202007;2;29;291080;Q;8610102;1;212420;101;7;28;39,50;3;1;0;1;20;0;0;0;1576,05;7;0;1;202105;202301;1;1;5;1576,05
202007;3;32;320500;G;4663000;1;782305;101;7;34;44,00;6;1;0;1;20;0;0;0;2040,54;1;0;1;202007;202301;1;0;5;2040,54
202007;3;35;353010;Q;8630504;1;422105;101;7;23;44,00;6;3;0;1;20;0;0;0;1184,38;2;0;1;202007;202301;1;0;5;1184,38
202007;3;32;320500;G;4663000;1;725205;101;7;51;44,00;6;1;0;1;20;0;0;0;2078,40;1;0;1;202007;202301;1;0;5;2078,40
202007;4;42;420140;N;8211300;-1;411050;101;9;27;44,00;6;3;0;1;32;0;0;0;1523,71;5;0;1;202007;202301;1;0;5;1523,71
202007;2;29;291080;Q;8610102;1;131205;101;9;53;39,50;1;3;0;1;20;0;0;0;10000,00;7;0;1;202009;202301;1;1;5;10000,00
202007;2;21;210542;A;151201;1;621005;101;6;26;44,00;3;3;2;3;20;0;0;0;1045,00;1;0;1;202007;202301;1;0;5;1045,00
202007;3;32;320500;G;4663000;1;724315;101;7;36;44,00;6;1;0;1;20;0;0;0;2310,71;1;0;1;202007;202301;1;0;5;2310,71
202007;2;29;291080;Q;8610102;1;514320;101;7;25;44,00;3;1;0;1;20;0;0;0;1086,42;7;0;1;202105;202301;1;1;5;1086,42
202007;2;21;210542;A;322101;1;623020;101;2;32;44,00;3;1;2;3;20;0;0;0;1050,00;1;0;1;202007;202301;1;0;5;1050,00
202007;3;35;355030;C;2825900;1;354205;101;9;30;44,00;1;3;0;1;20;0;0;0;2000,00;5;0;1;202007;202301;1;0;5;2000,00
202007;3;33;330350;G;4744099;1;521105;101;7;27;44,00;3;3;0;1;20;0;0;0;1175,00;3;0;1;202007;202301;1;0;5;1175,00
202007;3;35;355030;C;2825900;1;413110;101;7;52;44,00;1;3;0;1;20;0;0;0;3000,00;5;0;1;202007;202301;1;0;5;3000,00
202007;2;21;210542;A;322101;1;715115;101;6;33;44,00;1;1;2;3;20;0;0;0;1400,00;1;0;1;202007;202301;1;0;5;1400,00
